No,hour_A,PM2.5_A,PM10_A,SO2_A,NO2_A,CO_A,O3_A,TEMP_A,station_A,hour_C,PM2.5_C,PM10_C,SO2_C,NO2_C,CO_C,O3_C,TEMP_C,station_C,Date
11,10,3.0,6.0,9.0,12.0,400.0,72.0,1.9,Aotizhongxin,10,9.0,10.0,3.0,10.0,300.0,83.0,2.0,Changping,2013-03-01
12,11,3.0,6.0,9.0,14.0,400.0,71.0,2.9,Aotizhongxin,11,3.0,3.0,4.0,9.0,300.0,81.0,3.6,Changping,2013-03-01
13,12,3.0,6.0,7.0,13.0,300.0,74.0,3.9,Aotizhongxin,12,3.0,6.0,4.0,8.0,300.0,90.0,4.8,Changping,2013-03-01
14,13,3.0,6.0,7.0,12.0,400.0,76.0,5.3,Aotizhongxin,13,3.0,101.0,5.0,9.0,300.0,89.0,5.8,Changping,2013-03-01
15,14,6.0,9.0,7.0,11.0,400.0,77.0,6.0,Aotizhongxin,14,9.0,60.0,5.0,6.0,300.0,94.0,5.9,Changping,2013-03-01
16,15,8.0,15.0,7.0,14.0,400.0,76.0,6.2,Aotizhongxin,15,3.0,34.0,6.0,7.0,300.0,94.0,6.0,Changping,2013-03-01
17,16,9.0,19.0,9.0,13.0,400.0,76.0,5.9,Aotizhongxin,16,3.0,28.0,5.0,9.0,300.0,92.0,5.4,Changping,2013-03-01
18,17,10.0,23.0,11.0,15.0,400.0,74.0,4.3,Aotizhongxin,17,6.0,25.0,19.0,12.0,300.0,88.0,3.5,Changping,2013-03-01
19,18,11.0,20.0,8.0,20.0,500.0,70.0,3.1,Aotizhongxin,18,4.0,17.0,40.0,22.0,600.0,77.0,2.7,Changping,2013-03-01
20,19,8.0,14.0,12.0,30.0,500.0,60.0,2.3,Aotizhongxin,19,7.0,19.0,37.0,22.0,600.0,75.0,2.0,Changping,2013-03-01
21,20,11.0,17.0,13.0,33.0,600.0,55.0,1.7,Aotizhongxin,20,8.0,21.0,23.0,14.0,300.0,80.0,1.1,Changping,2013-03-01
22,21,12.0,18.0,16.0,35.0,500.0,50.0,0.6,Aotizhongxin,21,7.0,16.0,34.0,19.0,300.0,74.0,1.6,Changping,2013-03-01
23,22,15.0,19.0,21.0,57.0,700.0,32.0,0.9,Aotizhongxin,22,5.0,13.0,25.0,16.0,300.0,76.0,0.4,Changping,2013-03-01
24,23,24.0,24.0,26.0,54.0,600.0,36.0,-0.2,Aotizhongxin,23,7.0,12.0,43.0,25.0,500.0,65.0,0.3,Changping,2013-03-01
25,0,22.0,24.0,24.0,44.0,500.0,44.0,-0.4,Aotizhongxin,0,11.0,13.0,23.0,16.0,400.0,69.0,-0.5,Changping,2013-03-02
26,1,14.0,17.0,21.0,36.0,400.0,50.0,-1.0,Aotizhongxin,1,12.0,10.0,24.0,18.0,400.0,67.0,-1.8,Changping,2013-03-02
30,5,9.0,11.0,19.0,70.0,500.0,20.0,-1.8,Aotizhongxin,5,13.0,13.0,37.0,57.0,600.0,28.0,-3.5,Changping,2013-03-02
31,6,4.0,10.0,28.0,46.0,500.0,39.0,-2.5,Aotizhongxin,6,16.0,15.0,38.0,66.0,900.0,16.0,-3.5,Changping,2013-03-02
32,7,3.0,11.0,34.0,58.0,500.0,27.0,-1.7,Aotizhongxin,7,19.0,25.0,39.0,63.0,900.0,18.0,-3.3,Changping,2013-03-02
33,8,3.0,7.0,21.0,49.0,500.0,43.0,-0.4,Aotizhongxin,8,22.0,26.0,41.0,66.0,1100.0,14.0,-2.0,Changping,2013-03-02
34,9,10.0,14.0,47.0,62.0,700.0,29.0,0.6,Aotizhongxin,9,29.0,43.0,53.0,69.0,1600.0,13.0,-0.2,Changping,2013-03-02
35,10,11.0,19.0,36.0,60.0,600.0,34.0,1.7,Aotizhongxin,10,46.0,70.0,40.0,54.0,900.0,29.0,0.6,Changping,2013-03-02
36,11,18.0,29.0,36.0,70.0,800.0,27.0,2.2,Aotizhongxin,11,30.0,33.0,40.0,61.0,800.0,28.0,1.3,Changping,2013-03-02
37,12,26.0,30.0,25.0,76.0,900.0,22.0,2.7,Aotizhongxin,12,31.0,41.0,42.0,51.0,700.0,38.0,1.9,Changping,2013-03-02
38,13,25.0,33.0,20.0,57.0,700.0,39.0,3.3,Aotizhongxin,13,30.0,34.0,42.0,50.0,700.0,42.0,2.3,Changping,2013-03-02
39,14,26.0,35.0,22.0,54.0,700.0,43.0,3.8,Aotizhongxin,14,30.0,32.0,50.0,59.0,900.0,36.0,3.0,Changping,2013-03-02
40,15,37.0,40.0,24.0,55.0,700.0,44.0,3.9,Aotizhongxin,15,38.0,41.0,49.0,58.0,900.0,38.0,2.9,Changping,2013-03-02
41,16,37.0,46.0,29.0,63.0,1000.0,38.0,3.5,Aotizhongxin,16,42.0,49.0,49.0,62.0,900.0,35.0,2.5,Changping,2013-03-02
42,17,44.0,58.0,45.0,77.0,1200.0,30.0,2.2,Aotizhongxin,17,44.0,50.0,50.0,66.0,900.0,31.0,2.1,Changping,2013-03-02
43,18,54.0,79.0,50.0,80.0,1100.0,24.0,1.2,Aotizhongxin,18,44.0,55.0,50.0,73.0,900.0,23.0,1.5,Changping,2013-03-02
44,19,61.0,86.0,50.0,97.0,1300.0,10.0,1.5,Aotizhongxin,19,47.0,60.0,34.0,76.0,1000.0,18.0,0.3,Changping,2013-03-02
45,20,67.0,96.0,54.0,108.0,1399.0,2.0,1.2,Aotizhongxin,20,52.0,65.0,43.0,84.0,1300.0,12.0,0.0,Changping,2013-03-02
46,21,74.0,103.0,72.0,107.0,1399.0,2.0,0.6,Aotizhongxin,21,69.0,76.0,51.0,82.0,1700.0,9.0,-1.2,Changping,2013-03-02
47,22,81.0,113.0,84.0,110.0,1500.0,3.0,-0.6,Aotizhongxin,22,72.0,83.0,49.0,82.0,1600.0,8.0,-2.1,Changping,2013-03-02
48,23,93.0,120.0,87.0,107.0,1700.0,2.0,-0.8,Aotizhongxin,23,62.0,71.0,68.0,87.0,2000.0,9.0,-2.2,Changping,2013-03-02
49,0,112.0,130.0,73.0,100.0,1899.0,2.0,-1.4,Aotizhongxin,0,73.0,87.0,41.0,76.0,1500.0,7.0,-2.4,Changping,2013-03-03
50,1,109.0,132.0,80.0,101.0,2200.0,2.0,-2.0,Aotizhongxin,1,50.0,60.0,36.0,73.0,1399.0,7.0,-3.8,Changping,2013-03-03
51,2,110.0,132.0,98.0,99.0,2399.0,2.0,-2.8,Aotizhongxin,2,60.0,62.0,37.0,75.0,1500.0,7.0,-3.8,Changping,2013-03-03
52,3,105.0,129.0,88.0,100.0,2500.0,2.0,-2.6,Aotizhongxin,3,60.0,63.0,41.0,74.0,1600.0,7.0,-4.0,Changping,2013-03-03
53,4,106.0,136.0,79.0,92.0,2799.0,2.0,-4.3,Aotizhongxin,4,64.0,66.0,31.0,69.0,1200.0,6.0,-4.8,Changping,2013-03-03
54,5,101.0,135.0,64.0,87.0,2399.0,2.0,-5.6,Aotizhongxin,5,56.0,58.0,34.0,71.0,1300.0,6.0,-5.6,Changping,2013-03-03
55,6,91.0,142.0,67.0,87.0,2100.0,2.0,-5.8,Aotizhongxin,6,53.0,59.0,24.0,68.0,1399.0,6.0,-5.7,Changping,2013-03-03
56,7,79.0,116.0,83.0,91.0,2000.0,2.0,-3.1,Aotizhongxin,7,52.0,62.0,25.0,68.0,1700.0,6.0,-3.3,Changping,2013-03-03
57,8,77.0,110.0,123.0,90.0,2299.0,2.0,0.7,Aotizhongxin,8,58.0,75.0,51.0,71.0,2399.0,12.0,-0.3,Changping,2013-03-03
58,9,83.0,119.0,135.0,90.0,2600.0,3.0,3.5,Aotizhongxin,9,81.0,106.0,69.0,72.0,2000.0,15.0,3.4,Changping,2013-03-03
59,10,94.0,122.0,116.0,90.0,1800.0,9.0,6.5,Aotizhongxin,10,84.0,101.0,78.0,84.0,2200.0,17.0,6.5,Changping,2013-03-03
60,11,96.0,117.0,89.0,93.0,1600.0,14.0,11.4,Aotizhongxin,11,106.0,148.0,91.0,93.0,1899.0,20.0,9.0,Changping,2013-03-03
61,12,91.0,108.0,77.0,99.0,1600.0,14.0,13.8,Aotizhongxin,12,110.0,135.0,78.0,89.0,1800.0,24.0,12.2,Changping,2013-03-03
62,13,98.0,134.0,50.0,81.0,1200.0,33.0,16.0,Aotizhongxin,13,113.0,151.0,64.0,80.0,1500.0,30.0,15.6,Changping,2013-03-03
63,14,72.0,106.0,31.0,57.0,900.0,51.0,16.7,Aotizhongxin,14,100.0,151.0,36.0,53.0,1000.0,52.0,16.6,Changping,2013-03-03
64,15,48.0,114.0,14.0,17.0,500.0,77.0,16.9,Aotizhongxin,15,68.0,128.0,14.0,20.0,400.0,78.0,17.0,Changping,2013-03-03
65,16,28.0,100.0,12.0,17.0,400.0,77.0,16.4,Aotizhongxin,16,32.0,90.0,10.0,16.0,400.0,82.0,16.1,Changping,2013-03-03
66,17,26.0,103.0,9.0,19.0,400.0,73.0,13.1,Aotizhongxin,17,21.0,71.0,27.0,21.0,400.0,76.0,13.9,Changping,2013-03-03
67,18,24.0,82.0,8.0,27.0,500.0,66.0,8.7,Aotizhongxin,18,16.0,33.0,17.0,22.0,400.0,72.0,12.4,Changping,2013-03-03
68,19,19.0,71.0,26.0,98.0,1300.0,11.0,12.2,Aotizhongxin,19,18.0,43.0,12.0,35.0,600.0,59.0,8.9,Changping,2013-03-03
69,20,60.0,175.0,64.0,135.0,2000.0,4.0,11.7,Aotizhongxin,20,24.0,56.0,27.0,46.0,800.0,45.0,7.7,Changping,2013-03-03
70,21,117.0,181.0,28.0,100.0,1100.0,5.0,5.3,Aotizhongxin,21,29.0,55.0,27.0,42.0,700.0,47.0,6.9,Changping,2013-03-03
71,22,54.0,105.0,28.0,90.0,1200.0,2.0,3.1,Aotizhongxin,22,23.0,46.0,25.0,69.0,1300.0,19.0,6.8,Changping,2013-03-03
72,23,46.0,94.0,29.0,84.0,1200.0,2.0,5.2,Aotizhongxin,23,30.0,78.0,14.0,24.0,700.0,52.0,8.6,Changping,2013-03-03
73,0,42.0,83.0,51.0,86.0,1300.0,4.0,7.7,Aotizhongxin,0,25.0,42.0,30.0,22.0,400.0,57.0,9.2,Changping,2013-03-04
74,1,49.0,80.0,39.0,64.0,1000.0,25.0,8.2,Aotizhongxin,1,16.0,38.0,24.0,13.0,300.0,72.0,7.3,Changping,2013-03-04
78,5,10.0,24.0,18.0,45.0,400.0,40.0,2.7,Aotizhongxin,5,3.0,14.0,31.0,46.0,600.0,38.0,5.4,Changping,2013-03-04
79,6,13.0,32.0,24.0,65.0,500.0,22.0,3.8,Aotizhongxin,6,10.0,24.0,43.0,43.0,500.0,39.0,4.2,Changping,2013-03-04
80,7,14.0,36.0,30.0,70.0,600.0,17.0,6.5,Aotizhongxin,7,12.0,28.0,38.0,38.0,700.0,42.0,6.3,Changping,2013-03-04
81,8,13.0,35.0,38.0,70.0,700.0,21.0,9.0,Aotizhongxin,8,12.0,32.0,29.0,34.0,700.0,48.0,8.9,Changping,2013-03-04
82,9,15.0,32.0,26.0,36.0,500.0,52.0,10.6,Aotizhongxin,9,16.0,29.0,21.0,19.0,500.0,65.0,10.2,Changping,2013-03-04
83,10,16.0,24.0,22.0,36.0,600.0,57.0,11.9,Aotizhongxin,10,14.0,23.0,16.0,12.0,400.0,76.0,11.4,Changping,2013-03-04
84,11,18.0,33.0,18.0,27.0,400.0,68.0,13.1,Aotizhongxin,11,7.0,16.0,7.0,11.0,400.0,80.0,12.7,Changping,2013-03-04
85,12,13.0,28.0,12.0,14.0,400.0,77.0,14.2,Aotizhongxin,12,8.0,22.0,6.0,9.0,400.0,85.0,14.6,Changping,2013-03-04
86,13,3.0,12.0,7.0,12.0,300.0,82.0,15.3,Aotizhongxin,13,14.0,16.0,7.0,9.0,400.0,89.0,15.1,Changping,2013-03-04
87,14,3.0,10.0,8.0,13.0,400.0,84.0,15.2,Aotizhongxin,14,11.0,13.0,14.0,11.0,400.0,91.0,16.1,Changping,2013-03-04
88,15,10.0,13.0,9.0,15.0,400.0,84.0,15.3,Aotizhongxin,15,21.0,24.0,11.0,10.0,400.0,95.0,16.1,Changping,2013-03-04
89,16,14.0,20.0,10.0,34.0,500.0,70.0,14.5,Aotizhongxin,16,10.0,17.0,10.0,12.0,400.0,92.0,14.8,Changping,2013-03-04
90,17,20.0,33.0,14.0,40.0,500.0,78.0,12.7,Aotizhongxin,17,13.0,15.0,8.0,21.0,400.0,86.0,12.9,Changping,2013-03-04
91,18,25.0,44.0,13.0,43.0,600.0,75.0,11.6,Aotizhongxin,18,17.0,29.0,14.0,40.0,500.0,81.0,11.3,Changping,2013-03-04
92,19,31.0,63.0,17.0,61.0,700.0,53.0,10.9,Aotizhongxin,19,32.0,54.0,39.0,63.0,700.0,57.0,8.7,Changping,2013-03-04
93,20,34.0,84.0,18.0,76.0,800.0,40.0,9.9,Aotizhongxin,20,43.0,71.0,66.0,91.0,1100.0,25.0,5.9,Changping,2013-03-04
94,21,40.0,85.0,40.0,76.0,800.0,39.0,8.4,Aotizhongxin,21,64.0,99.0,41.0,88.0,1500.0,18.0,4.9,Changping,2013-03-04
95,22,51.0,91.0,46.0,85.0,1000.0,31.0,8.6,Aotizhongxin,22,76.0,123.0,25.0,57.0,1100.0,34.0,4.0,Changping,2013-03-04
96,23,58.0,94.0,46.0,86.0,1100.0,84.0,7.7,Aotizhongxin,23,54.0,75.0,21.0,43.0,1200.0,95.0,4.2,Changping,2013-03-04
97,0,71.0,108.0,66.0,78.0,1100.0,84.0,4.7,Aotizhongxin,0,57.0,69.0,20.0,37.0,900.0,95.0,2.8,Changping,2013-03-05
98,1,91.0,127.0,75.0,75.0,1200.0,84.0,1.1,Aotizhongxin,1,48.0,57.0,38.0,66.0,1600.0,95.0,1.8,Changping,2013-03-05
99,2,100.0,129.0,58.0,79.0,1200.0,84.0,-0.6,Aotizhongxin,2,65.0,99.0,32.0,54.0,1399.0,95.0,0.8,Changping,2013-03-05
100,3,103.0,130.0,66.0,83.0,1399.0,84.0,0.2,Aotizhongxin,3,60.0,75.0,20.0,36.0,1100.0,95.0,0.2,Changping,2013-03-05
101,4,115.0,151.0,76.0,92.0,2299.0,84.0,1.8,Aotizhongxin,4,46.0,54.0,40.0,75.0,2299.0,95.0,-0.1,Changping,2013-03-05
102,5,117.0,153.0,91.0,91.0,2399.0,84.0,0.6,Aotizhongxin,5,72.0,113.0,33.0,61.0,1600.0,95.0,-0.4,Changping,2013-03-05
103,6,104.0,145.0,94.0,89.0,2200.0,84.0,-0.2,Aotizhongxin,6,56.0,78.0,31.0,53.0,1100.0,95.0,-1.0,Changping,2013-03-05
104,7,106.0,146.0,82.0,87.0,2299.0,84.0,2.9,Aotizhongxin,7,51.0,66.0,34.0,69.0,2000.0,95.0,1.2,Changping,2013-03-05
105,8,111.0,147.0,101.0,87.0,2399.0,84.0,5.1,Aotizhongxin,8,68.0,105.0,40.0,66.0,1600.0,95.0,6.0,Changping,2013-03-05
106,9,114.0,159.0,114.0,92.0,2899.0,84.0,7.7,Aotizhongxin,9,68.0,92.0,64.0,75.0,1899.0,95.0,7.8,Changping,2013-03-05
107,10,131.0,177.0,107.0,104.0,2700.0,84.0,9.4,Aotizhongxin,10,87.0,117.0,81.0,92.0,2000.0,95.0,9.3,Changping,2013-03-05
108,11,138.0,184.0,109.0,115.0,2299.0,84.0,10.6,Aotizhongxin,11,107.0,160.0,66.0,80.0,1500.0,95.0,11.0,Changping,2013-03-05
109,12,142.0,184.0,104.0,136.0,2299.0,15.0,11.9,Aotizhongxin,12,109.0,139.0,52.0,65.0,1399.0,55.0,12.1,Changping,2013-03-05
110,13,163.0,193.0,94.0,147.0,2200.0,84.0,12.6,Aotizhongxin,13,118.0,133.0,56.0,55.0,1300.0,95.0,13.2,Changping,2013-03-05
111,14,168.0,182.0,85.0,158.0,2100.0,84.0,13.5,Aotizhongxin,14,126.0,127.0,57.0,60.0,1300.0,95.0,14.1,Changping,2013-03-05
112,15,165.0,171.0,85.0,172.0,2200.0,78.0,13.8,Aotizhongxin,15,124.0,129.0,62.0,76.0,1500.0,92.0,13.5,Changping,2013-03-05
113,16,166.0,186.0,97.0,194.0,2700.0,78.0,13.2,Aotizhongxin,16,149.0,153.0,59.0,81.0,1500.0,86.0,13.3,Changping,2013-03-05
114,17,190.0,218.0,101.0,204.0,2799.0,75.0,12.1,Aotizhongxin,17,151.0,158.0,74.0,104.0,1600.0,81.0,12.4,Changping,2013-03-05
115,18,203.0,248.0,107.0,197.0,2500.0,53.0,9.0,Aotizhongxin,18,158.0,168.0,64.0,106.0,1700.0,81.0,8.9,Changping,2013-03-05
116,19,210.0,255.0,103.0,188.0,2200.0,40.0,5.3,Aotizhongxin,19,161.0,172.0,69.0,123.0,1899.0,81.0,7.7,Changping,2013-03-05
117,20,205.0,244.0,106.0,189.0,2500.0,39.0,3.3,Aotizhongxin,20,173.0,187.0,68.0,127.0,2299.0,81.0,6.3,Changping,2013-03-05
118,21,215.0,252.0,93.0,178.0,3100.0,31.0,2.9,Aotizhongxin,21,191.0,210.0,55.0,94.0,2100.0,81.0,5.6,Changping,2013-03-05
119,22,219.0,253.0,92.0,169.0,3200.0,29.0,5.2,Aotizhongxin,22,181.0,183.0,52.0,78.0,1899.0,81.0,4.9,Changping,2013-03-05
120,23,226.0,269.0,147.0,184.0,4400.0,29.0,4.9,Aotizhongxin,23,141.0,160.0,50.0,74.0,1899.0,81.0,3.7,Changping,2013-03-05
121,0,284.0,315.0,133.0,174.0,4000.0,28.0,4.9,Aotizhongxin,0,152.0,154.0,65.0,115.0,2700.0,81.0,3.9,Changping,2013-03-06
122,1,272.0,300.0,131.0,166.0,4000.0,22.0,4.8,Aotizhongxin,1,180.0,195.0,52.0,72.0,2000.0,81.0,3.9,Changping,2013-03-06
126,5,188.0,194.0,92.0,143.0,2500.0,22.0,4.1,Aotizhongxin,5,182.0,202.0,79.0,101.0,2500.0,81.0,2.1,Changping,2013-03-06
127,6,186.0,194.0,94.0,131.0,2600.0,22.0,4.5,Aotizhongxin,6,182.0,187.0,86.0,94.0,2399.0,81.0,3.1,Changping,2013-03-06
128,7,188.0,196.0,92.0,129.0,2700.0,22.0,5.7,Aotizhongxin,7,187.0,190.0,82.0,93.0,2700.0,81.0,4.7,Changping,2013-03-06
129,8,194.0,205.0,102.0,113.0,2500.0,22.0,6.6,Aotizhongxin,8,195.0,200.0,86.0,85.0,2299.0,81.0,5.5,Changping,2013-03-06
130,9,184.0,198.0,98.0,102.0,2399.0,22.0,7.5,Aotizhongxin,9,193.0,200.0,81.0,86.0,2799.0,81.0,7.2,Changping,2013-03-06
131,10,175.0,198.0,107.0,103.0,2600.0,22.0,8.7,Aotizhongxin,10,200.0,219.0,109.0,114.0,3600.0,81.0,8.8,Changping,2013-03-06
132,11,179.0,212.0,119.0,105.0,2399.0,22.0,10.1,Aotizhongxin,11,239.0,280.0,123.0,126.0,3700.0,81.0,10.6,Changping,2013-03-06
133,12,192.0,219.0,124.0,113.0,2299.0,22.0,11.1,Aotizhongxin,12,271.0,324.0,142.0,142.0,3799.0,81.0,12.4,Changping,2013-03-06
134,13,201.0,233.0,126.0,136.0,2700.0,22.0,12.6,Aotizhongxin,13,281.0,315.0,118.0,135.0,3399.0,81.0,13.4,Changping,2013-03-06
135,14,230.0,265.0,130.0,146.0,2799.0,14.0,14.5,Aotizhongxin,14,263.0,284.0,121.0,152.0,3600.0,81.0,13.6,Changping,2013-03-06
136,15,246.0,277.0,140.0,157.0,2899.0,10.0,14.7,Aotizhongxin,15,293.0,347.0,118.0,160.0,3299.0,81.0,13.6,Changping,2013-03-06
137,16,248.0,285.0,154.0,146.0,2799.0,17.0,14.2,Aotizhongxin,16,302.0,352.0,112.0,158.0,3100.0,66.0,13.3,Changping,2013-03-06
138,17,230.0,276.0,145.0,171.0,3200.0,17.0,11.6,Aotizhongxin,17,312.0,342.0,107.0,141.0,2700.0,60.0,12.0,Changping,2013-03-06
139,18,239.0,291.0,142.0,177.0,3500.0,17.0,6.8,Aotizhongxin,18,280.0,300.0,110.0,135.0,2600.0,39.0,10.6,Changping,2013-03-06
140,19,242.0,338.0,124.0,164.0,3700.0,17.0,5.1,Aotizhongxin,19,265.0,281.0,104.0,137.0,2700.0,37.0,7.1,Changping,2013-03-06
141,20,254.0,396.0,107.0,154.0,4200.0,17.0,4.4,Aotizhongxin,20,268.0,285.0,107.0,136.0,3299.0,37.0,6.2,Changping,2013-03-06
142,21,266.0,380.0,117.0,159.0,3799.0,17.0,3.8,Aotizhongxin,21,272.0,281.0,136.0,156.0,4799.0,37.0,5.5,Changping,2013-03-06
143,22,254.0,335.0,111.0,148.0,4099.0,17.0,2.4,Aotizhongxin,22,339.0,394.0,118.0,148.0,5500.0,35.0,4.7,Changping,2013-03-06
144,23,260.0,360.0,119.0,145.0,4000.0,17.0,2.3,Aotizhongxin,23,326.0,360.0,113.0,140.0,4500.0,30.0,4.5,Changping,2013-03-06
145,0,250.0,319.0,102.0,139.0,4000.0,17.0,1.5,Aotizhongxin,0,282.0,287.0,98.0,131.0,3899.0,30.0,5.3,Changping,2013-03-07
146,1,240.0,297.0,91.0,127.0,4000.0,17.0,0.7,Aotizhongxin,1,206.0,249.0,77.0,117.0,3399.0,22.0,6.2,Changping,2013-03-07
147,2,238.0,294.0,83.0,133.0,4000.0,17.0,1.5,Aotizhongxin,2,227.0,228.0,80.0,111.0,3000.0,22.0,3.0,Changping,2013-03-07
148,3,243.0,293.0,86.0,121.0,4099.0,17.0,0.3,Aotizhongxin,3,208.0,211.0,72.0,105.0,2899.0,22.0,1.4,Changping,2013-03-07
149,4,246.0,304.0,57.0,113.0,5000.0,17.0,-0.9,Aotizhongxin,4,198.0,200.0,73.0,110.0,3700.0,22.0,1.3,Changping,2013-03-07
150,5,275.0,337.0,46.0,103.0,5599.0,17.0,1.6,Aotizhongxin,5,201.0,215.0,67.0,108.0,4700.0,22.0,1.0,Changping,2013-03-07
151,6,306.0,366.0,41.0,114.0,5700.0,17.0,0.3,Aotizhongxin,6,202.0,234.0,72.0,102.0,4400.0,22.0,0.2,Changping,2013-03-07
152,7,320.0,374.0,46.0,124.0,4599.0,17.0,2.4,Aotizhongxin,7,175.0,206.0,65.0,95.0,4400.0,22.0,4.9,Changping,2013-03-07
153,8,292.0,344.0,78.0,106.0,3700.0,17.0,8.3,Aotizhongxin,8,143.0,180.0,114.0,96.0,5099.0,22.0,7.0,Changping,2013-03-07
154,9,251.0,282.0,182.0,116.0,3299.0,17.0,10.1,Aotizhongxin,9,140.0,200.0,92.0,114.0,4599.0,22.0,8.9,Changping,2013-03-07
155,10,228.0,255.0,166.0,135.0,3200.0,17.0,12.7,Aotizhongxin,10,169.0,240.0,138.0,150.0,4200.0,22.0,12.5,Changping,2013-03-07
156,11,217.0,255.0,169.0,171.0,4000.0,17.0,16.5,Aotizhongxin,11,225.0,309.0,100.0,111.0,2299.0,22.0,15.0,Changping,2013-03-07
157,12,255.0,311.0,154.0,201.0,4000.0,17.0,17.1,Aotizhongxin,12,174.0,183.0,58.0,62.0,1300.0,41.0,16.3,Changping,2013-03-07
158,13,258.0,283.0,111.0,226.0,3700.0,17.0,17.7,Aotizhongxin,13,71.0,82.0,46.0,53.0,1100.0,65.0,17.3,Changping,2013-03-07
159,14,277.0,284.0,102.0,167.0,2899.0,39.0,18.3,Aotizhongxin,14,83.0,88.0,53.0,98.0,1600.0,65.0,16.6,Changping,2013-03-07
160,15,282.0,326.0,79.0,130.0,2399.0,61.0,18.6,Aotizhongxin,15,137.0,133.0,73.0,177.0,2500.0,65.0,16.8,Changping,2013-03-07
161,16,267.0,310.0,62.0,97.0,1899.0,80.0,17.9,Aotizhongxin,16,207.0,230.0,81.0,186.0,2899.0,65.0,16.6,Changping,2013-03-07
162,17,216.0,257.0,64.0,86.0,1600.0,84.0,15.4,Aotizhongxin,17,258.0,285.0,80.0,163.0,2799.0,65.0,14.5,Changping,2013-03-07
163,18,201.0,255.0,76.0,125.0,1899.0,84.0,14.4,Aotizhongxin,18,264.0,298.0,77.0,141.0,2500.0,65.0,12.5,Changping,2013-03-07
164,19,211.0,287.0,79.0,173.0,2399.0,10.0,13.4,Aotizhongxin,19,241.0,247.0,105.0,191.0,3200.0,21.0,11.8,Changping,2013-03-07
165,20,227.0,298.0,99.0,207.0,3399.0,84.0,11.8,Aotizhongxin,20,256.0,286.0,98.0,199.0,3399.0,65.0,9.8,Changping,2013-03-07
166,21,282.0,377.0,114.0,213.0,4000.0,84.0,9.2,Aotizhongxin,21,262.0,282.0,96.0,171.0,3000.0,65.0,7.9,Changping,2013-03-07
167,22,363.0,452.0,126.0,210.0,4000.0,84.0,7.5,Aotizhongxin,22,238.0,241.0,82.0,166.0,3799.0,65.0,8.1,Changping,2013-03-07
168,23,376.0,426.0,128.0,209.0,3799.0,84.0,6.6,Aotizhongxin,23,249.0,261.0,70.0,145.0,3500.0,65.0,6.8,Changping,2013-03-07
169,0,344.0,389.0,107.0,195.0,3799.0,84.0,4.1,Aotizhongxin,0,224.0,238.0,60.0,132.0,3200.0,65.0,5.9,Changping,2013-03-08
170,1,339.0,370.0,90.0,177.0,4099.0,84.0,3.3,Aotizhongxin,1,216.0,227.0,68.0,140.0,5299.0,65.0,4.4,Changping,2013-03-08
174,5,315.0,346.0,47.0,144.0,3200.0,84.0,1.4,Aotizhongxin,5,233.0,235.0,57.0,105.0,3299.0,65.0,15.4,Changping,2013-03-08
175,6,310.0,327.0,45.0,146.0,3299.0,84.0,1.1,Aotizhongxin,6,193.0,211.0,30.0,36.0,700.0,65.0,12.7,Changping,2013-03-08
176,7,309.0,318.0,44.0,145.0,4099.0,84.0,5.7,Aotizhongxin,7,72.0,135.0,44.0,85.0,1500.0,65.0,14.9,Changping,2013-03-08
